Product,Supplier,Supplier Country,Supplier City,Lead Time (Weeks),Mean Weekly Demand,Total_Sales,Safety Stock (SS),SS (round unit up),SS (CBM),SS (KG),Reorder Point (RP=s),RP (round unit up),RP (CBM),RP (KG),Order-Up-To Level (S),S (round unit up),S (CBM),S (KG),CBM/Orderlines,Kg/Orderlines
B-004,S-US-002,USA,Sacramento,6.857142857,278.7051282,21711,143.5448718,144,8.741605198,6459.772872,2054.665751,2055,124.7499908,92186.34202,3965.78663,3966,240.7583765,177912.9112,0.060705592,44.85953383
B-005,S-US-002,USA,Sacramento,6.857142857,15.5,1212,10.65,11,1.04221134,867.073222,116.9357143,117,11.0853388,9222.506089,223.2214286,224,21.22321274,17656.76379,0.094746485,78.82483837
B-006,S-CN-007,China,Suzhou,5.857142857,185.3717949,14486,69.77820513,70,2.719453962,457.5487911,1155.527289,1156,44.90983972,7556.091464,2241.276374,2242,87.10022548,14654.63414,0.038849342,6.536411301
B-007,S-CN-008,China,Guangzhou,5.857142857,74.19230769,5806,71.50769231,72,1.285527736,283.4712761,506.0626374,507,9.052257808,1996.110236,940.6175824,941,16.80113333,3704.812094,0.017854552,3.937101056
B-008,S-CN-008,China,Guangzhou,5.857142857,23.93589744,1868,14.21410256,15,0.446728021,74.46195321,154.4100733,155,4.616189549,769.4401831,294.606044,295,8.785651078,1464.418413,0.029781868,4.964130214
B-009,S-CN-008,China,Guangzhou,5.857142857,364.4679487,28401,147.2820513,148,13.13196629,714.2079248,2282.022894,2283,202.5694529,11017.13981,4416.763736,4417,391.9182101,21315.24597,0.088729502,4.825729222
B-010,S-CN-007,China,Suzhou,5.857142857,366.2371795,28557,172.8128205,173,7.709215033,1626.781624,2317.9163,2318,103.2945691,21796.99308,4463.01978,4464,198.924485,41976.6079,0.044561937,9.403361986
B-011,S-MY-003,Malaysia,Kuala Lumpur,6.857142857,591.6346154,46100,372.4153846,373,27.51390578,25071.3707,4429.338462,4430,326.7737335,297764.5367,8486.261538,8487,626.0335613,570457.7028,0.073763822,67.21547105
B-012,S-CN-010,China,Wuxi,5.857142857,511.9294872,39909,247.2205128,248,19.9937535,3009.254876,3245.664652,3246,261.6924349,39387.26342,6244.108791,6245,503.4717364,75777.40605,0.080619974,12.13409224
B-013,S-CN-008,China,Guangzhou,5.857142857,46.65384615,3631,20.64615385,21,0.575964531,146.6922549,293.9043956,294,8.063503433,2053.691569,567.1626374,568,15.57846922,3967.676228,0.027426882,6.985345472
B-014,S-CN-010,China,Wuxi,5.857142857,96.6474359,7536,45.4025641,46,6.442739369,1049.937509,611.4804029,612,85.71644552,13968.73382,1177.558242,1178,164.9901517,26887.53013,0.140059552,22.82472846
B-015,S-CN-009,China,Taicang,5.857142857,15.12820513,1181,11.02179487,12,0.191931261,36.26636183,99.62985348,100,1.599427175,302.2196819,188.2379121,189,3.022917361,571.1951988,0.015994272,3.022196819
B-016,S-MY-004,Malaysia,Penang,6.857142857,170.6794872,13467,91.47051282,92,1.743742343,901.5167949,1261.844139,1262,23.91959605,12366.45864,2432.217766,2433,46.11440347,23841.19959,0.018953721,9.799095597
B-017,S-MY-004,Malaysia,Penang,6.857142857,204.4358974,16072,92.66410256,93,1.300737184,783.0251788,1494.510256,1495,20.90969989,12587.34024,2896.35641,2897,40.5186626,24391.6553,0.013986421,8.419625578
B-018,S-DE-006,Germany,Nuremberg,12.71428571,117.0641026,9144,82.43589744,83,8.799083991,8062.18716,1570.822344,1571,166.5465175,152598.7473,3059.208791,3060,324.399964,297232.4423,0.10601306,97.13478506
B-019,S-DE-005,Germany,Frankfurt,12.71428571,155.4230769,12109,65.37692308,66,1.409267838,385.6377219,2041.47033,2042,43.6018928,11931.3974,4017.563736,4018,85.79451777,23477.15707,0.021352543,5.842995786
B-020,S-DE-005,Germany,Frankfurt,12.71428571,411.25,32094,208.25,209,6.397087653,1751.828106,5437,5437,166.4161032,45572.67662,10665.75,10666,326.4657268,89401.90709,0.030608075,8.381952661
B-021,S-DE-005,Germany,Frankfurt,12.71428571,20.56410256,1608,15.03589744,16,6.593450915,665.3433147,276.4937729,277,114.149119,11518.75614,537.9516484,538,221.704787,22372.16896,0.412090682,41.58395717
B-022,S-DE-005,Germany,Frankfurt,12.71428571,376.8205128,29323,319.7294872,320,4.048675351,1639.984052,5110.73315,5111,64.66493663,26193.62027,9901.736813,9902,125.2811979,50747.25649,0.01265211,5.124950161
B-023,S-DE-004,Germany,Munich,12.71428571,185.4038462,14450,88.79615385,89,9.57850578,8447.157151,2446.073626,2447,263.3550971,232249.3657,4803.351099,4804,517.0240648,455956.6624,0.10762366,94.9118781
B-024,S-CN-010,China,Wuxi,5.857142857,140.2692308,10953,51.73076923,52,2.284577368,158.8776056,873.3076923,874,38.39847346,2670.36591,1694.884615,1695,74.46843537,5178.798875,0.04393418,3.055338569
B-025,S-MY-003,Malaysia,Kuala Lumpur,6.857142857,2.346153846,183,2.803846154,3,0.757831979,888.9819374,18.89175824,19,4.799602533,5630.218937,34.97967033,35,8.841373087,10371.45594,0.25261066,296.3273125
B-026,S-US-003,USA,Phoenix,6.857142857,5.423076923,422,5.726923077,6,1.822850206,410.4341507,42.91373626,43,13.06375981,2941.444747,80.10054945,81,24.60847778,5540.861035,0.303808368,68.40569178
B-027,S-CN-010,China,Wuxi,5.857142857,7.628205128,596,6.371794872,7,1.362126299,815.2919346,51.05128205,52,10.11865251,6056.454371,95.73076923,96,18.68058925,11181.14653,0.194589471,116.4702764
B-028,S-CN-009,China,Taicang,5.857142857,4.935897436,387,5.214102564,6,0.709922263,162.1559256,34.12435897,35,4.1412132,945.9095658,63.03461538,64,7.572504137,1729.663206,0.118320377,27.02598759
B-029,S-DE-005,Germany,Frankfurt,12.71428571,2.692307692,211,5.457692308,6,4.236260605,571.9139174,39.68846154,40,28.24173736,3812.759449,73.91923077,74,52.24721413,7053.604981,0.706043434,95.31898623
B-030,S-MY-004,Malaysia,Penang,6.857142857,3.256410256,256,4.893589744,5,0.013060283,0.791081983,27.22326007,28,0.073137586,4.430059104,49.5529304,50,0.130602831,7.910819828,0.002612057,0.158216397
B-031,S-US-003,USA,Phoenix,6.857142857,7.583333333,591,6.416666667,7,1.095629275,273.0182378,58.41666667,59,9.234589602,2301.153719,110.4166667,111,17.37354993,4329.2892,0.156518468,39.0026054
B-032,S-DE-005,Germany,Frankfurt,12.71428571,1.333333333,104,2.666666667,3,0.10446155,32.59508438,19.61904762,20,0.696410335,217.3005625,36.57142857,37,1.288359119,402.0060406,0.034820517,10.86502813
B-033,S-DE-004,Germany,Munich,12.71428571,1.705128205,133,2.294871795,3,3.919054442,903.3647075,23.97435897,24,31.35243554,7226.91766,45.65384615,46,60.09216812,13851.59218,1.306351481,301.1215692
B-034,S-CN-007,China,Suzhou,5.857142857,3.551282051,277,4.448717949,5,0.29405945,97.57694591,25.24908425,26,1.529109138,507.4001188,46.04945055,47,2.764158827,917.2232916,0.05881189,19.51538918
B-035,S-CN-009,China,Taicang,5.857142857,2.653846154,207,7.346153846,8,0.07301162,6.987669016,22.89010989,23,0.209908406,20.08954842,38.43406593,39,0.355931646,34.06488645,0.009126452,0.873458627
B-036,S-CN-009,China,Taicang,5.857142857,2.076923077,162,2.923076923,3,0.384123958,55.08650062,15.08791209,16,2.048661107,293.79467,27.25274725,28,3.585156937,514.1406725,0.128041319,18.36216687
B-037,S-DE-005,Germany,Frankfurt,12.71428571,0.012820513,1,-0.012820513,-1,-0.164291842,-65.69522408,0.15018315,1,0.164291842,65.69522408,0.313186813,1,0.164291842,65.69522408,0.164291842,65.69522408
B-038,S-US-002,USA,Sacramento,6.857142857,1.480769231,121,0.669230769,1,0.126457101,79.80673799,10.82307692,11,1.391028114,877.8741179,20.97692308,21,2.655599127,1675.941498,0.126457101,79.80673799
B-039,S-DE-004,Germany,Munich,12.71428571,0.282051282,22,0.867948718,1,1.01519611,693.7839202,4.454029304,5,5.07598055,3468.919601,8.04010989,9,9.13676499,6244.055282,1.01519611,693.7839202
B-040,S-US-003,USA,Phoenix,6.857142857,0.051282051,5,-0.051282051,-1,-0.228344906,-82.39751771,0.3003663,1,0.228344906,82.39751771,0.652014652,1,0.228344906,82.39751771,0.228344906,82.39751771
B-041,S-DE-005,Germany,Frankfurt,12.71428571,0.012820513,1,-0.012820513,-1,-0.05018866,-11.424678,0.15018315,1,0.05018866,11.424678,0.313186813,1,0.05018866,11.424678,0.05018866,11.424678
B-042,S-DE-004,Germany,Munich,12.71428571,0.576923077,45,1.423076923,2,1.201716148,627.0750578,8.758241758,9,5.407722665,2821.83776,16.09340659,17,10.21458726,5330.137991,0.600858074,313.5375289
B-043,S-CN-009,China,Taicang,5.857142857,0.012820513,1,-0.012820513,-1,-0.015391927,-3.386575034,0.062271062,1,0.015391927,3.386575034,0.137362637,1,0.015391927,3.386575034,0.015391927,3.386575034
